record_id,person,person_label,year,role,ads_record_id,ads_id
1,Q100,Philip Laver,1927,Author,3105808,40021
2,Q100,Philip Laver,1929,Author,3139524,40021
3,Q100,Philip Laver,1919,Author,3095170,40021
4,Q100,Philip Laver,1929,Author,3139525,40021
5,Q100,Philip Laver,1927,Author,3105811,40021
6,Q100,Philip Laver,1921,Author,3098544,40021
7,Q101,Walter Gibb Klein,1927,Author,3004352,39896
8,Q101,Walter Gibb Klein,1928,Author,3004355,39896
9,Q103,William Gurney Benham,1907,Author,3179223,55155
17,Q104,Edward Thurlow Leeds,1930,Author,3105840,25105
18,Q104,Edward Thurlow Leeds,1931,Author,3004414,25105
19,Q104,Edward Thurlow Leeds,1948,Author,3004243,25105
21,Q104,Edward Thurlow Leeds,1928,Author,3004370,25105
22,Q104,Edward Thurlow Leeds,1947,Author,3105547,25105
23,Q104,Edward Thurlow Leeds,1924,Author,3105784,25105
24,Q104,Edward Thurlow Leeds,1930,Author,3105835,25105
25,Q104,Edward Thurlow Leeds,1941,Author,3005643,25105
26,Q104,Edward Thurlow Leeds,1927,Author,3004341,25105
28,Q104,Edward Thurlow Leeds,1936,Author,3004543,25105
29,Q104,Edward Thurlow Leeds,1950,Author,3005731,25105
30,Q104,Edward Thurlow Leeds,1938,Author,3191842,25105
31,Q104,Edward Thurlow Leeds,1924,Author,3004309,25105
32,Q104,Edward Thurlow Leeds,1944,Author,3005683,25105
33,Q104,Edward Thurlow Leeds,1917,Author,3004480,25105
34,Q104,Edward Thurlow Leeds,1924,Author,3004296,25105
35,Q104,Edward Thurlow Leeds,1931,Author,3004409,25105
36,Q104,Edward Thurlow Leeds,1937,Author,3004546,25105
37,Q104,Edward Thurlow Leeds,1922,Author,3105771,25105
38,Q104,Edward Thurlow Leeds,1953,Author,3004000,25105
39,Q104,Edward Thurlow Leeds,NA,Author,3134837,25105
40,Q104,Edward Thurlow Leeds,1929,Author,3139527,25105
41,Q104,Edward Thurlow Leeds,1938,Author,3032126,25105
42,Q104,Edward Thurlow Leeds,1929,Author,3004379,25105
43,Q104,Edward Thurlow Leeds,1950,Author,3005733,25105
44,Q104,Edward Thurlow Leeds,NA,Author,3115253,25105
45,Q104,Edward Thurlow Leeds,1931,Author,3004411,25105
46,Q104,Edward Thurlow Leeds,1931,Author,3004404,25105
47,Q104,Edward Thurlow Leeds,1946,Author,3005696,25105
48,Q104,Edward Thurlow Leeds,1933,Author,3004446,25105
49,Q104,Edward Thurlow Leeds,NA,Author,3124118,25105
50,Q104,Edward Thurlow Leeds,1931,Author,3105846,25105
51,Q104,Edward Thurlow Leeds,1927,Author,3105812,25105
52,Q104,Edward Thurlow Leeds,1927,Author,3105807,25105
53,Q104,Edward Thurlow Leeds,1938,Author,3032123,25105
54,Q104,Edward Thurlow Leeds,1922,Author,3004266,25105
55,Q104,Edward Thurlow Leeds,1938,Author,3032125,25105
56,Q104,Edward Thurlow Leeds,1927,Author,3004350,25105
57,Q104,Edward Thurlow Leeds,1940,Author,3032099,25105
58,Q104,Edward Thurlow Leeds,1957,Author,3188235,25105
59,Q104,Edward Thurlow Leeds,1922,Author,3004268,25105
