record_id,person,person_label,year,author,journal_std_title,journal_std_grp,volume,ads_record_id,ads_id
1,Q1000,Kate Norgate,1897,"Kate Norgate
                                                Maurice Henry Footman",Transactions of the Associated Architectural Societies,Transactions of the Associated Architectural Societies,24,3129851,40254
2,Q1000,Kate Norgate,1902,Kate Norgate,Transactions of the Associated Architectural Societies,Transactions of the Associated Architectural Societies,26,3129176,40254
3,Q1000,Kate Norgate,1900,Kate Norgate,Transactions of the Royal Historical Society,Transactions of the Royal Historical Society,14,3146286,40254
4,Q1002,Rosalind Lucy Northcote,1900,Rosalind Northcote,Folklore,Folklore,11,3112988,48766
5,Q1003,Frances Arabella O'Grady,1897,O'Grady,Transactions of the Associated Architectural Societies,Transactions of the Associated Architectural Societies,24,3129821,40250
6,Q1003,Frances Arabella O'Grady,1902,O'Grady,Transactions of the Associated Architectural Societies,Transactions of the Associated Architectural Societies,26,3129171,40250
7,Q1003,Frances Arabella O'Grady,1910,O'Grady,Transactions of the Associated Architectural Societies,Transactions of the Associated Architectural Societies,30,3129334,40250
8,Q1003,Frances Arabella O'Grady,1910,O'Grady,Transactions of the Associated Architectural Societies,Transactions of the Associated Architectural Societies,30,3129307,40250
9,Q1005,Mary Owen,1897,Mary Owen,Y Cymmrodor,Y Cymmrodor,1897-98,3140354,56369
10,Q1007,"Clara, Lady Paget",1897,Paget,Journal of the British Archaeological Association,Journal of the British Archaeological Association,3,3098865,49819
11,Q1007,"Clara, Lady Paget",1894,Paget,Journal of the British Archaeological Association,Journal of the British Archaeological Association,50,3098670,49819
12,Q1007,"Clara, Lady Paget",1896,Paget,Journal of the British Archaeological Association,Journal of the British Archaeological Association,2,3098833,49819
13,Q1007,"Clara, Lady Paget",1897,Paget,Journal of the British Archaeological Association,Journal of the British Archaeological Association,3,3098872,49819
14,Q1008,Diana C. Parkinson,1901,Diana C Parkinson,Journal of the Royal Historical and Archaeological Association of Ireland,Journal of the Royal Society of Antiquaries of Ireland,11,3039440,55698
15,Q1008,Diana C. Parkinson,1905,Diana C Parkinson,Journal of the Royal Historical and Archaeological Association of Ireland,Journal of the Royal Society of Antiquaries of Ireland,15,3039601,55698
16,Q1009,Clara Maud Patterson,1893,Clara M Patterson,Annual Report and Proceedings of the Belfast Naturalists' Field Club,Annual Report and Proceedings of the Belfast Naturalists' Field Club,4,3141082,47683
17,Q1010,Mabel Geraldine Woodruffe Peacock,1908,Mabel Peacock,Folklore,Folklore,19,3112821,41395
18,Q1010,Mabel Geraldine Woodruffe Peacock,1903,Mabel Peacock,Folklore,Folklore,14,3113035,41395
19,Q1010,Mabel Geraldine Woodruffe Peacock,1905,"Mabel Peacock
                                                Charlotte S Burne",Folklore,Folklore,16,3112791,41395
20,Q1010,Mabel Geraldine Woodruffe Peacock,1908,Mabel Peacock,Folklore,Folklore,19,3112812,41395
21,Q1010,Mabel Geraldine Woodruffe Peacock,1901,Mabel Peacock,Folklore,Folklore,12,3112637,41395
22,Q1010,Mabel Geraldine Woodruffe Peacock,1908,Mabel Peacock,Folklore,Folklore,19,3112811,41395
23,Q1010,Mabel Geraldine Woodruffe Peacock,1896,Mabel Peacock,Folklore,Folklore,7,3113293,41395
26,Q1010,Mabel Geraldine Woodruffe Peacock,1903,"W Henry Jewitt
                                                C C Bell
                                                Mabel Peacock",Folklore,Folklore,14,3113040,41395
27,Q1010,Mabel Geraldine Woodruffe Peacock,1887,Mabel Peacock,Folklore Journal,Folklore,5,3143109,41395
28,Q1010,Mabel Geraldine Woodruffe Peacock,1901,Mabel Peacock,Folklore,Folklore,12,3112598,41395
29,Q1010,Mabel Geraldine Woodruffe Peacock,1902,"Mabel Peacock
                                                Frank Kidson",Folklore,Folklore,13,3112706,41395
30,Q1010,Mabel Geraldine Woodruffe Peacock,1903,Mabel Peacock,Folklore,Folklore,14,3113029,41395
31,Q1010,Mabel Geraldine Woodruffe Peacock,1903,Mabel Peacock,Folklore,Folklore,14,3112998,41395
32,Q1010,Mabel Geraldine Woodruffe Peacock,1900,Mabel Peacock,Folklore,Folklore,11,3112963,41395
33,Q1010,Mabel Geraldine Woodruffe Peacock,1904,Mabel Peacock,Folklore,Folklore,15,3112709,41395
34,Q1010,Mabel Geraldine Woodruffe Peacock,1904,Mabel Peacock,Folklore,Folklore,15,3112733,41395
35,Q1010,Mabel Geraldine Woodruffe Peacock,1897,Mabel Peacock,Folklore,Folklore,8,3113318,41395
36,Q1010,Mabel Geraldine Woodruffe Peacock,1909,Mabel Peacock,Folklore,Folklore,20,3113178,41395
37,Q1010,Mabel Geraldine Woodruffe Peacock,1903,Mabel Peacock,Folklore,Folklore,14,3113021,41395
38,Q1010,Mabel Geraldine Woodruffe Peacock,1903,Mabel Peacock,Folklore,Folklore,14,3113027,41395
39,Q1010,Mabel Geraldine Woodruffe Peacock,1897,Mabel Peacock,Folklore,Folklore,8,3113328,41395
40,Q1010,Mabel Geraldine Woodruffe Peacock,1907,Mabel Peacock,Folklore,Folklore,18,3113084,41395
41,Q1010,Mabel Geraldine Woodruffe Peacock,1893,Mabel Peacock,Folklore,Folklore,4,3113212,41395
42,Q1010,Mabel Geraldine Woodruffe Peacock,1897,Mabel Peacock,Folklore,Folklore,8,3113325,41395
43,Q1010,Mabel Geraldine Woodruffe Peacock,1900,Mabel Peacock,Folklore,Folklore,11,3112978,41395
44,Q1010,Mabel Geraldine Woodruffe Peacock,1902,Mabel Peacock,Folklore,Folklore,13,3112701,41395
45,Q1010,Mabel Geraldine Woodruffe Peacock,1905,"Mabel Peacock
                                                Alice Oldknow
                                                Charlotte S Burne",Folklore,Folklore,16,3112793,41395
46,Q1010,Mabel Geraldine Woodruffe Peacock,1901,Mabel Peacock,Folklore,Folklore,12,3112636,41395
47,Q1010,Mabel Geraldine Woodruffe Peacock,1896,Mabel Peacock,Folklore,Folklore,7,3113295,41395
48,Q1010,Mabel Geraldine Woodruffe Peacock,1897,Mabel Peacock,Folklore,Folklore,8,3113350,41395
49,Q1015,Charlotte Mary Augusta Peake,1903,C M A Peake,Berks Bucks and Oxon Archaeological Journal,Berks Bucks and Oxon Archaeological Journal,9,3192688,47797
