person	personLabel	SALproposedLabel	SALproposed	SALsignatorypersonalLabel	SALsignatorypersonal	SALsignatorygeneralLabel	SALsignatorygeneral	RAIproposed	RAIproposedLabel	RAIseconded	RAIsecondedLabel	date
https://beyond-notability.wikibase.cloud/entity/Q1599	Lucy Nichols							https://beyond-notability.wikibase.cloud/entity/Q2095	Joseph Burtt			1874-04-29T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q1138	Emmeline Way							https://beyond-notability.wikibase.cloud/entity/Q2095	Joseph Burtt			1874-04-29T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2100	Anne Mauleverer							https://beyond-notability.wikibase.cloud/entity/Q1599	Lucy Nichols	https://beyond-notability.wikibase.cloud/entity/Q2095	Joseph Burtt	1874-11-03T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2104	Mrs James Cowell							https://beyond-notability.wikibase.cloud/entity/Q2095	Joseph Burtt			1875-06-10T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2106	Jennette Thwaites							https://beyond-notability.wikibase.cloud/entity/Q2107	Thomas K Tully	https://beyond-notability.wikibase.cloud/entity/Q2108	Edward Baker	1876-02-01T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q414	Miss Bury							https://beyond-notability.wikibase.cloud/entity/Q2116	John Stephens			1877-11-08T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2123	Rhoda Garrett							https://beyond-notability.wikibase.cloud/entity/Q2124	William John Loftie			1877-12-05T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2126	Frances Welby							https://beyond-notability.wikibase.cloud/entity/Q2127	R. G. Smith	https://beyond-notability.wikibase.cloud/entity/Q2128	Walter D. Jeremy	1878-05-22T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2132	Anne Sopwith							https://beyond-notability.wikibase.cloud/entity/Q2133	Augustus Wollaston Franks			1879-03-21T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2134	Mimi Collinson							https://beyond-notability.wikibase.cloud/entity/Q711	John Henry Parker			1879-05-16T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2130	Ellen Elizabeth Dunkin							https://beyond-notability.wikibase.cloud/entity/Q2145	H. Wickham			1880-02-19T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q1690	Sophia Perry-Herrick							https://beyond-notability.wikibase.cloud/entity/Q1688	W. J. Bernhard Smith			1880-04-08T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2139	Susannah Peckover							https://beyond-notability.wikibase.cloud/entity/Q2140	Mr Foster			1882-07-10T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2143	Martha Jervis							https://beyond-notability.wikibase.cloud/entity/Q2116	John Stephens			1883-02-07T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2149	Miss Lambert							https://beyond-notability.wikibase.cloud/entity/Q4	James Hilton			1883-07-16T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2148	Miss Jackson							t39814	t39814			1883-10-31T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2150	Mrs W. J. Thompson							t39818	t39818			1883-12-19T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2153	Miss Day							https://beyond-notability.wikibase.cloud/entity/Q201	William Henry St John Hope	https://beyond-notability.wikibase.cloud/entity/Q2154	John Thomas Micklethwaite	1884-06-20T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2158	Mrs Boswell							https://beyond-notability.wikibase.cloud/entity/Q2159	C. Waldron	https://beyond-notability.wikibase.cloud/entity/Q2160	R. P. Pullan	1885-07-01T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2161	Mrs Silver							https://beyond-notability.wikibase.cloud/entity/Q2162	Rev. Precentor Venables			1886-08-16T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2169	Anne Goodison							https://beyond-notability.wikibase.cloud/entity/Q2170	Greville John Chester	https://beyond-notability.wikibase.cloud/entity/Q567	William Matthew Flinders Petrie	1888-07-14T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2176	Mrs Mason							https://beyond-notability.wikibase.cloud/entity/Q202	Thomas Henry Baylis	https://beyond-notability.wikibase.cloud/entity/Q2175	Justice Pinhey	1888-11-07T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2183	Harriet Helen Tatlock							https://beyond-notability.wikibase.cloud/entity/Q2184	Rev. J. J. Raven			1889-11-19T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q1343	Maria Jane Slee							https://beyond-notability.wikibase.cloud/entity/Q2187	J. O. Westwood	https://beyond-notability.wikibase.cloud/entity/Q43	Arthur Evans	1890-05-09T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2188	Mrs Smith							https://beyond-notability.wikibase.cloud/entity/Q4	James Hilton			1890-11-21T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2190	Georgia Louise Leonard							https://beyond-notability.wikibase.cloud/entity/Q2191	William Copley Winslow	https://beyond-notability.wikibase.cloud/entity/Q2185	Hellier Gosselin	1891-07-29T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2195	Miss Tribe							https://beyond-notability.wikibase.cloud/entity/Q4	James Hilton			1892-02-10T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2194	Lucy Beevor							https://beyond-notability.wikibase.cloud/entity/Q2185	Hellier Gosselin			1892-07-27T00:00:00Z
