FSA	date	FSALabel	FSAgenderLabel	proposer	proposerLabel	proposergenderLabel	electedLabel
https://beyond-notability.wikibase.cloud/entity/Q1497		Beatrice Mary Blackwood		https://beyond-notability.wikibase.cloud/entity/Q120	Donald Benjamin Harden	man	successful
https://beyond-notability.wikibase.cloud/entity/Q23	1920-04-28T00:00:00Z	Eugénie Sellers Strong	woman	https://beyond-notability.wikibase.cloud/entity/Q27	Society of Antiquaries of London Council		successful
https://beyond-notability.wikibase.cloud/entity/Q57	1920-04-28T00:00:00Z	Rose Graham	woman	https://beyond-notability.wikibase.cloud/entity/Q27	Society of Antiquaries of London Council		successful
https://beyond-notability.wikibase.cloud/entity/Q553	1920-06-12T00:00:00Z	Ellen Ann Willmott	woman	https://beyond-notability.wikibase.cloud/entity/Q54	Walter Henry, Baron Northborne	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q130	1920-11-24T00:00:00Z	Gertrude Bell	woman	https://beyond-notability.wikibase.cloud/entity/Q27	Society of Antiquaries of London Council		successful
https://beyond-notability.wikibase.cloud/entity/Q60	1921-03-03T00:00:00Z	Nina Frances Layard	woman	https://beyond-notability.wikibase.cloud/entity/Q27	Society of Antiquaries of London Council		successful
https://beyond-notability.wikibase.cloud/entity/Q133	1924-03-19T00:00:00Z	Margerie Venables Taylor	woman	https://beyond-notability.wikibase.cloud/entity/Q43	Arthur Evans	man	successful
https://beyond-notability.wikibase.cloud/entity/Q76	1925-02-04T00:00:00Z	Rachael Poole	woman	https://beyond-notability.wikibase.cloud/entity/Q140	Charles John Holmes	man	successful
https://beyond-notability.wikibase.cloud/entity/Q145	1928-03-01T00:00:00Z	Tessa Verney Wheeler	woman	https://beyond-notability.wikibase.cloud/entity/Q137	Alfred William Clapham	man	successful
https://beyond-notability.wikibase.cloud/entity/Q153	1929-01-10T00:00:00Z	Eliza Jeffries Davis	woman	https://beyond-notability.wikibase.cloud/entity/Q155	Arthur Hermann Thomas	man	successful
https://beyond-notability.wikibase.cloud/entity/Q165	1929-05-02T00:00:00Z	Margaret Helen Longhurst	woman	https://beyond-notability.wikibase.cloud/entity/Q168	Eric Maclagan	man	successful
https://beyond-notability.wikibase.cloud/entity/Q177	1930-03-06T00:00:00Z	Katherine Ada Esdaile	woman	https://beyond-notability.wikibase.cloud/entity/Q136	Mortimer Wheeler	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q238	1932-02-04T00:00:00Z	Winifred Lamb	woman	https://beyond-notability.wikibase.cloud/entity/Q112	John Nowell Linton Myres	man	successful
https://beyond-notability.wikibase.cloud/entity/Q256	1932-03-03T00:00:00Z	Dorothy Mary Liddell	woman	https://beyond-notability.wikibase.cloud/entity/Q99	Joscelyn Plunket Bushe-Fox	man	successful
https://beyond-notability.wikibase.cloud/entity/Q266	1933-01-12T00:00:00Z	Mary Scarlet Holgate	woman	https://beyond-notability.wikibase.cloud/entity/Q178	Walter Hindes Godfrey	man	successful
https://beyond-notability.wikibase.cloud/entity/Q275	1933-03-02T00:00:00Z	Joan Evans	woman	https://beyond-notability.wikibase.cloud/entity/Q104	Edward Thurlow Leeds	man	successful
https://beyond-notability.wikibase.cloud/entity/Q294	1934-01-11T00:00:00Z	Dina Portway Dobson	woman	https://beyond-notability.wikibase.cloud/entity/Q297	Martin Conway	man	successful
