person	personLabel	SALproposed	proposergender	SALsignatorypersonalLabel	SALsignatorypersonal	signgenderLabel	date
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			Charles Hercules Read	https://beyond-notability.wikibase.cloud/entity/Q41	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			William Minet	https://beyond-notability.wikibase.cloud/entity/Q42	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			Arthur Evans	https://beyond-notability.wikibase.cloud/entity/Q43	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			Arthur Frederick Hill	https://beyond-notability.wikibase.cloud/entity/Q44	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			John Linton Myres	https://beyond-notability.wikibase.cloud/entity/Q45	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			Hilary Jenkinson	https://beyond-notability.wikibase.cloud/entity/Q46	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			signatory indecipherable	https://beyond-notability.wikibase.cloud/entity/Q47	t35858	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			Charles Lethbridge Kingsford	https://beyond-notability.wikibase.cloud/entity/Q48	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			Aymer Vallance	https://beyond-notability.wikibase.cloud/entity/Q49	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			Henry Reginald Holland Hall	https://beyond-notability.wikibase.cloud/entity/Q50	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			Matthew Ingle Joyce	https://beyond-notability.wikibase.cloud/entity/Q51	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			Reginald Campbell Thompson	https://beyond-notability.wikibase.cloud/entity/Q52	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			Vernon Bryan Crowther-Beynon	https://beyond-notability.wikibase.cloud/entity/Q53	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			Charles Reed Peers	https://beyond-notability.wikibase.cloud/entity/Q55	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong			Frederick Anthony White	https://beyond-notability.wikibase.cloud/entity/Q56	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham			Charles Hercules Read	https://beyond-notability.wikibase.cloud/entity/Q41	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham			William Minet	https://beyond-notability.wikibase.cloud/entity/Q42	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham			Arthur Frederick Hill	https://beyond-notability.wikibase.cloud/entity/Q44	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham			John Linton Myres	https://beyond-notability.wikibase.cloud/entity/Q45	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham			Hilary Jenkinson	https://beyond-notability.wikibase.cloud/entity/Q46	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham			Aymer Vallance	https://beyond-notability.wikibase.cloud/entity/Q49	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham			Henry Reginald Holland Hall	https://beyond-notability.wikibase.cloud/entity/Q50	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham			Matthew Ingle Joyce	https://beyond-notability.wikibase.cloud/entity/Q51	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham			Reginald Campbell Thompson	https://beyond-notability.wikibase.cloud/entity/Q52	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham			Vernon Bryan Crowther-Beynon	https://beyond-notability.wikibase.cloud/entity/Q53	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham			Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham			Charles Reed Peers	https://beyond-notability.wikibase.cloud/entity/Q55	man	1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott			Ralph Hare Griffin	https://beyond-notability.wikibase.cloud/entity/Q246	man	1920-06-12T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott			signatory indecipherable	https://beyond-notability.wikibase.cloud/entity/Q47	t35858	1920-06-12T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott			Aymer Vallance	https://beyond-notability.wikibase.cloud/entity/Q49	man	1920-06-12T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott			Aldred Frederick George Beresford, Earl of Scarborough	https://beyond-notability.wikibase.cloud/entity/Q554	man	1920-06-12T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q553	Ellen Ann Willmott			Montagu Edward Hughes-Hughes	https://beyond-notability.wikibase.cloud/entity/Q555	man	1920-06-12T00:00:00Z
