person,personLabel,propLabel,ppaLabel,qual_propLabel,qual_valueLabel,qual_value,prop,ppa,qual_prop,s
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,point in time,1903-12-17T00:00:00Z,1903-12-17T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q747-105e0697-4a5d-5b1d-b122-2cc75b2fbc43
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,note,Paper was read on Goodrich-Freer's behalf by meeting Chair (Prof. York Powell),Paper was read on Goodrich-Freer's behalf by meeting Chair (Prof. York Powell),https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P47,https://beyond-notability.wikibase.cloud/entity/statement/Q747-105e0697-4a5d-5b1d-b122-2cc75b2fbc43
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,title of paper,Some Jewish Folklore from Jerusalem,Some Jewish Folklore from Jerusalem,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q747-105e0697-4a5d-5b1d-b122-2cc75b2fbc43
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,of,The Folklore Society,https://beyond-notability.wikibase.cloud/entity/Q292,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q747-105e0697-4a5d-5b1d-b122-2cc75b2fbc43
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,point in time,1901-11-06T00:00:00Z,1901-11-06T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q747-44326995-4e09-a095-a87d-8f1257156191
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,title of paper,More Folklore from the Hebrides,More Folklore from the Hebrides,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q747-44326995-4e09-a095-a87d-8f1257156191
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,of,The Folklore Society,https://beyond-notability.wikibase.cloud/entity/Q292,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q747-44326995-4e09-a095-a87d-8f1257156191
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,point in time,1899-02-15T00:00:00Z,1899-02-15T00:00:00Z,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P1,https://beyond-notability.wikibase.cloud/entity/statement/Q747-7a1b01a1-4cd3-fb0a-ae87-95854afbcd60
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,title of paper,The Powers of Evil in the Outer Hebrides,The Powers of Evil in the Outer Hebrides,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P77,https://beyond-notability.wikibase.cloud/entity/statement/Q747-7a1b01a1-4cd3-fb0a-ae87-95854afbcd60
https://beyond-notability.wikibase.cloud/entity/Q747,Ada Goodrich-Freer,spoke at,meeting,of,The Folklore Society,https://beyond-notability.wikibase.cloud/entity/Q292,https://beyond-notability.wikibase.cloud/entity/P23,https://beyond-notability.wikibase.cloud/entity/Q31,https://beyond-notability.wikibase.cloud/entity/P78,https://beyond-notability.wikibase.cloud/entity/statement/Q747-7a1b01a1-4cd3-fb0a-ae87-95854afbcd60
